title_pt,title_en,year,rating,genre,sinopse,cluster,rating_original,year_original
Barbie,Barbie,1.426556610754786,-3.7763759752804646,Aventura,Viver na Terra da Barbie é ser um ser perfeito em um lugar perfeito. A menos que você tenha uma crise existencial completa. Ou que você seja um Ken.,0,7.4,2023
Um Sonho de Liberdade,1. The Shawshank Redemption,0.28738539939095753,4.171247366581396,Drama,"Dois homens presos se reúnem ao longo de vários anos, encontrando consolo e eventual redenção através de atos de decência comum.",4,9.3,1994
O Poderoso Chefão,2. The Godfather,-0.5768134506091882,3.752951401220239,Policial,O patriarca idoso de uma dinastia do crime organizado transfere o controle de seu império clandestino para seu filho relutante.,3,9.2,1972
Batman: O Cavaleiro das Trevas,3. The Dark Knight,0.837330122118323,2.9163594704979414,Ação,"Quando a ameaça conhecida como O Coringa surge de seu passado, causa estragos e caos nas pessoas de Gotham. O Cavaleiro das Trevas deve aceitar um dos maiores testes para combater a injustiça.",4,9.0,2008
O Poderoso Chefão II,4. The Godfather Part II,-0.4982499187909931,2.9163594704979414,Policial,"Em 1950, Michael Corleone, agora à frente da família, tenta expandir o negócio do crime a Las Vegas, Los Angeles e Cuba. Paralelamente, é revelada a história de Vito Corleone, e de como saiu da Sicília e chegou a Nova Iorque.",4,9.0,1974
12 Homens e uma Sentença,5. 12 Angry Men,-1.166039939245651,2.9163594704979414,Policial,"O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.",4,9.0,1957
A Lista de Schindler,6. Schindler's List,0.24810363348186004,2.9163594704979414,Biografia,"Na Polônia ocupada pelos alemães durante a Segunda Guerra Mundial, o industrial Oskar Schindler começa a ser preocupar com seus trabalhadores judeus depois de testemunhar sua perseguição pelos nazistas.",0,9.0,1993
O Senhor dos Anéis: O Retorno do Rei,7. The Lord of the Rings: The Return of the King,0.6409212925728354,2.9163594704979414,Ação,Gandalf e Aragorn lideram o Mundo dos Homens contra o exército de Sauron para desviar o olhar de Frodo e Sam quando eles se aproximam á Montanha da Perdição com o Um Anel.,4,9.0,2003
Pulp Fiction - Tempo de Violência,8. Pulp Fiction,0.28738539939095753,2.4980635051367925,Policial,"As vidas de dois assassinos da máfia, um boxeador, um gângster e sua esposa, e um par de bandidos se entrelaçam em quatro histórias de violência e redenção.",0,8.9,1994
O Senhor dos Anéis: A Sociedade do Anel,9. The Lord of the Rings: The Fellowship of the Ring,0.5623577607546403,2.0797675397756437,Ação,Um manso hobbit do Condado e oito companheiros partem em uma jornada para destruir o poderoso Um Anel e salvar a Terra-média das Trevas.,3,8.8,2001
